,72703,72711,72712,72713,KFVE0
1980-04-12,5.380000114440918,2.069999933242798,2.25,2.690000057220459,2.509999990463257
1980-04-13,3.0199999809265137,1.2999999523162842,0,1.2300000190734863,1.4600000381469727
1980-04-14,0,3.809999942779541,2.2899999618530273,1.8300000429153442,3.609999895095825
1980-04-15,7.400000095367432,6.559999942779541,4.559999942779541,4.159999847412109,5.329999923706055
1980-04-16,0,0.3100000023841858,0,0,0
1980-04-17,0,0,0,0,0
1980-04-18,0,0,0,0,0
1980-04-19,0,0,0,0,0
1980-04-20,7.840000152587891,4.260000228881836,8.020000457763672,8.550000190734863,6.260000228881836
1980-04-21,3.809999942779541,1.6399999856948853,3.1700000762939453,3.5399999618530273,2.1500000953674316
1980-04-22,5.71999979019165,3.6600000858306885,4.210000038146973,4.590000152587891,4.699999809265137
1980-04-23,5.949999809265137,5.230000019073486,3.700000047683716,4.539999961853027,4.889999866485596
1980-04-24,0,2.059999942779541,0,0,1.159999966621399
1980-04-25,0,0,0,0,0
1980-04-26,4.820000171661377,4.610000133514404,7.869999885559082,7,8.510000228881836
1980-04-27,3.0899999141693115,2.9200000762939453,0,0,0
1980-04-28,0,0,0,0,0
1980-04-29,0,0,0,0,0
1980-04-30,2.6700000762939453,1.649999976158142,2.319999933242798,2.5799999237060547,0
1980-05-01,0,0,0,0,0
1980-05-02,0,0,0,0,0
