id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
KEDU0,Davis / Briggston (Historical),US,CA,,KEDU,38.5315,-121.7865,21.0,America/Los_Angeles,2008-07-21,2025-02-06,2008-07-22,2022-04-24,2013-01-01,2022-01-01
KEMT0,El Monte / Hayes,US,CA,,KEMT,34.086,-118.0348,90.0,America/Los_Angeles,2006-01-01,2025-02-06,,,,
KF700,Murrieta/Temecula / Murrieta Hot Springs (Historical),US,CA,,KF70,33.5742,-117.1285,412.0,America/Los_Angeles,2020-01-14,2025-02-06,2020-01-14,2022-04-24,2020-01-01,2022-01-01
KFCH0,Fresno / West Park,US,CA,,KFCH,36.7321,-119.8203,85.0,America/Los_Angeles,1995-04-23,2024-09-19,1995-05-06,2022-03-05,,
KFOT0,Fortuna / Alton,US,CA,,KFOT,40.5539,-124.1327,120.0,America/Los_Angeles,2011-09-21,2025-02-06,2011-09-22,2022-04-24,2012-01-01,2022-01-01
KFUL0,Fullerton / Fuller Park,US,CA,,KFUL,33.872,-117.9798,29.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KGOO0,Grass Valley / Forest Knolls,US,CA,,KGOO,39.224,-121.0031,961.0,America/Los_Angeles,2011-09-21,2025-02-06,2011-09-22,2022-04-24,2020-01-01,2022-01-01
KGXA0,Palmdale / El Mirage,US,CA,,KGXA,34.5666,-117.6704,923.0,America/Los_Angeles,2011-08-25,2025-02-06,2011-08-26,2021-12-24,2017-01-01,2020-01-01
KHAF0,Half Moon Bay / El Granada Mobile Home Park,US,CA,,KHAF,37.5134,-122.5012,20.0,America/Los_Angeles,2009-07-17,2025-02-06,2009-07-18,2022-04-24,2011-01-01,2022-01-01
KHHR0,Hawthorne / Cypave,US,CA,,KHHR,33.9228,-118.3352,20.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KHJO0,Hanford / Shell,US,CA,,KHJO,36.3167,-119.6277,73.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KHMT0,Hemet / Egan,US,CA,,KHMT,33.734,-117.0225,461.0,America/Los_Angeles,2020-01-14,2025-02-06,2020-01-14,2022-04-24,2020-01-01,2022-01-01
KIPL0,Imperial,US,CA,,KIPL,32.8342,-115.5787,-16.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KIYK0,Inyokern,US,CA,,KIYK,35.6587,-117.8295,749.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-10-21,2006-10-21,,
KIZA0,Santa Ynez,US,CA,,KIZA,34.6068,-120.0756,205.0,America/Los_Angeles,2006-01-05,2025-02-06,2009-09-16,2022-04-24,2015-01-01,2022-01-01
