station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias,season
KGOO0,363,0.24545454545454543,0.23601112722061682,-0.009443418233928667,0.11724651404110874,0.572473962216791,0.9252734316695492,-0.03847318539748717,2.3323013275498896,0.9252734316695492,0.9858849528411322,-3.847318539748716,Summer
KAAT0,1638,0.20189255189255192,0.21555781312178357,0.013665261229231658,0.2786556378212415,1.558083485467287,-0.0019260766125042128,0.06768581159202132,7.717389625628713,-0.0019260766125042128,0.32541484862036385,6.768581159202132,Summer
KTRM0,1958,0.07870275791624104,0.1736170662681317,0.09491430835189062,0.17427025449823474,1.0524633580224283,0.3240305598927521,1.2059845279234385,13.372636307643836,0.3240305598927521,0.672763606448482,120.59845279234385,Summer
KAPV0,271,0.21697416974169742,0.27450381311636507,0.057529643374667636,0.21208141585122076,1.2349737604717113,0.7985602905190725,0.2651451250771246,5.691800834827104,0.7985602905190725,0.9093719779789409,26.514512507712467,Summer
72293,3529,0.061745536979314244,0.08204385703637339,0.020298320057059133,0.09737345353032406,0.7539364281387619,0.5022489026611858,0.3287414937189614,12.21037932492745,0.5022489026611858,0.7171331744335178,32.874149371896145,Summer
72382,2472,0.07961165048543689,0.23587565528332788,0.15626400479789096,0.2422471273080182,1.8076735975791238,0.2494290031679165,1.9628283529491182,22.706143969591434,0.2494290031679165,0.5353848352653792,196.2828352949118,Summer
KCEC0,1716,0.35472027972027975,0.40344530491055725,0.04872502519027749,0.3717456554247075,2.0612804907781785,0.4830680067404889,0.13736182557337961,5.811002664983332,0.4830680067404889,0.701744258252861,13.736182557337962,Summer
KSBD0,363,0.25702479338842976,0.4054391361960215,0.14841434280759172,0.3379026080327466,1.7123422235515275,0.6974785497269423,0.5774320089941671,6.662167493560605,0.6974785497269423,0.8367302860359173,57.74320089941671,Summer
72384,4140,0.034178743961352655,0.0550301328896955,0.02085138892834284,0.06486409182438163,0.8227784308793926,-0.46907453640955143,0.6100689057479813,24.072810627849368,-0.46907453640955143,0.3556252242017954,61.00689057479812,Summer
KIPL0,1679,0.06599166170339489,0.15636270207372727,0.09037104037033238,0.1637190274876113,0.9801787217037623,0.15115563412401856,1.3694311983915888,14.853069257586792,0.15115563412401856,0.49338808867906886,136.9431198391589,Summer
