station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias
KGOO0,1047,0.0,0.1650647689834784,0.1650647689834784,0.16506493188640142,1.208182303269286,0.0,,,,,
KAAT0,4968,0.0,0.2416053073484065,0.2416053073484065,0.2416054693718847,0.8991307123089264,0.0,,,,,
KTRM0,7314,0.0,0.14585003076957206,0.14585003076957206,0.14585018487908108,1.0955471203211387,0.0,,,,,
KAPV0,838,0.0,0.0861720042303038,0.0861720042303038,0.08617215039128476,0.34895457715727035,0.0,,,,,
72293,11903,0.0,0.18709149870332967,0.18709149870332967,0.18709160647530954,1.0239127589453134,0.0,,,,,
72382,8992,0.0,0.21582972621017874,0.21582972621017874,0.2158298862721732,1.0117694547127645,0.0,,,,,
KCEC0,4327,0.0,0.2670544838439893,0.2670544838439893,0.26705457003493815,1.4034922437248674,0.0,,,,,
KSBD0,1133,0.0,0.1568578259238557,0.1568578259238557,0.15685795920717358,0.6511953470451504,0.0,,,,,
72384,14716,0.0,0.25796141317643256,0.25796141317643256,0.2579616023654429,1.1747533834961508,0.0,,,,,
KIPL0,6496,0.0,0.06866267453493129,0.06866267453493129,0.06866287255611038,0.5082432218191398,0.0,,,,,
KMCC0,1114,0.0,0.11966907979640144,0.11966907979640144,0.11966926732171769,1.1157962877691405,0.0,,,,,
KWVI0,5443,0.0,0.10967991904446901,0.10967991904446901,0.10968000192542683,0.5907112423524183,0.0,,,,,
KEDU0,1132,0.0,0.0893446819886654,0.0893446819886654,0.08934479101303718,0.647745292714691,0.0,,,,,
QX6JS,795,0.0,0.07166554882576753,0.07166554882576753,0.0716657265370282,0.46804363343973104,0.0,,,,,
ZGK9P,863,0.0,0.10749122612543699,0.10749122612543699,0.10749134675151904,0.5042919174709845,0.0,,,,,
KIZA0,1222,0.0,0.04411297607287565,0.04411297607287565,0.044113055900107584,0.32683795383128683,0.0,,,,,
72380,7412,0.0,0.1099700818704784,0.1099700818704784,0.10997027237559442,0.7050330995572408,0.0,,,,,
KMYV0,5083,0.0,0.20547715805165206,0.20547715805165206,0.2054773467621041,1.8367612234926307,0.0,,,,,
KWHP0,1187,0.0,0.0860825089824543,0.0860825089824543,0.08608259233444478,0.5865244671400421,0.0,,,,,
KRNM0,5682,0.0,0.1473125477996122,0.1473125477996122,0.14731269198120092,0.7336084531968626,0.0,,,,,
72281,7498,0.0,0.07665659063408052,0.07665659063408052,0.0766568130546363,0.6195879302116187,0.0,,,,,
KSIY0,6378,0.0,0.4271722026376998,0.4271722026376998,0.42717231059341215,1.4732532367906075,0.0,,,,,
KMAE0,5802,0.0,0.1376843234688199,0.1376843234688199,0.13768451862583128,0.9843974850030215,0.0,,,,,
74516,1132,0.0,0.07723763782097007,0.07723763782097007,0.07723780125604315,0.5661441476928494,0.0,,,,,
KMMH0,977,0.0,0.14177561170365308,0.14177561170365308,0.1417757176501277,0.5333214624416259,0.0,,,,,
KSEE0,1161,0.0,0.07015411274337642,0.07015411274337642,0.07015424397137837,0.32109750956164773,0.0,,,,,
KBLH0,8368,0.0,0.08338378126095657,0.08338378126095657,0.08338398285213032,0.6738429572234728,0.0,,,,,
72591,12766,0.0,0.43632904548011403,0.43632904548011403,0.4363292478945154,2.0488191220745295,0.0,,,,,
72751,4166,0.0,2.7522835689094336,2.7522835689094336,2.752283749361128,8.78101118731539,0.0,,,,,
72593,13927,0.0,0.1999266095815549,0.1999266095815549,0.19992671643716423,1.093132517135141,0.0,,,,,
KNFG0,2897,0.0,0.08041486205986771,0.08041486205986771,0.08041498047811066,0.4762470949822348,0.0,,,,,
KLMO0,829,0.0,0.3587726234422387,0.3587726234422387,0.35877277280274444,0.8874351360432511,0.0,,,,,
8RXA6,767,0.0,0.11428325044891609,0.11428325044891609,0.11428342502861778,0.500962642569532,0.0,,,,,
72481,1182,0.0,0.09413855811746663,0.09413855811746663,0.09413874486271721,0.7224703219042111,0.0,,,,,
KTRK0,976,0.0,0.17754690454967942,0.17754690454967942,0.1775470185230639,0.6278689881527859,0.0,,,,,
KDAG0,8036,0.0,0.07739882751246434,0.07739882751246434,0.0773990091122393,0.5312119718656736,0.0,,,,,
KSLI0,1199,0.0,0.08938995875568022,0.08938995875568022,0.08939007499132186,0.27799015984724457,0.0,,,,,
KCQT0,3033,0.0,0.09795939407925099,0.09795939407925099,0.09795955374435096,0.579126365753033,0.0,,,,,
KPTV0,1219,0.0,0.11237309577768652,0.11237309577768652,0.11237326773439116,0.5771246537332185,0.0,,,,,
KPVF0,1070,0.0,0.12232237191850785,0.12232237191850785,0.12232260486963831,0.872144319342571,0.0,,,,,
KOXR0,6322,0.0,0.12646138177859945,0.12646138177859945,0.1264615068898562,0.8458251782476803,0.0,,,,,
KE160,1165,0.0,0.08637768954915648,0.08637768954915648,0.08637781950209225,0.610572843367142,0.0,,,,,
72297,14835,0.0,0.14187108192288905,0.14187108192288905,0.1418712019644747,0.7315219742133222,0.0,,,,,
KHMT0,1149,0.0,0.11651514092130395,0.11651514092130395,0.11651527752261925,0.4756028884900897,0.0,,,,,
KRHV0,1146,0.0,0.09423898494042213,0.09423898494042213,0.09423912744915489,0.700144803646613,0.0,,,,,
KSTS0,5669,0.0,0.09684934037305903,0.09684934037305903,0.09684944550266854,0.6783574151388875,0.0,,,,,
KPSP0,6420,0.0,0.1663902110793736,0.1663902110793736,0.16639036258278098,0.7503680696133104,0.0,,,,,
KFCH0,1211,0.0,0.07356962855496267,0.07356962855496267,0.07356983468356286,0.559253750673336,0.0,,,,,
KSDM0,5722,0.0,0.1659667058963097,0.1659667058963097,0.16596679061233574,0.774686650190466,0.0,,,,,
KL350,1107,0.0,0.12489866056843031,0.12489866056843031,0.12489880077942399,0.5274368387370958,0.0,,,,,
74612,12447,0.0,0.14048026522614956,0.14048026522614956,0.14048041488963667,0.9375495329531924,0.0,,,,,
KMHR0,1137,0.0,0.0981146166511567,0.0981146166511567,0.09811477281867614,0.880172964745422,0.0,,,,,
69014,5989,0.0,0.21315775726406877,0.21315775726406877,0.21315790077979663,1.3251178834786372,0.0,,,,,
72482,4301,0.0,0.13338607762725394,0.13338607762725394,0.1333862503056492,0.796314571407499,0.0,,,,,
KPRB0,7140,0.0,0.0800392233946189,0.0800392233946189,0.08003939281538987,0.5520405180363998,0.0,,,,,
KSNA0,6216,0.0,0.12042650351401814,0.12042650351401814,0.1204266128525972,0.5870570638343998,0.0,,,,,
KJAQ0,1123,0.0,0.1451033007786913,0.1451033007786913,0.14510341633503465,0.9744256542037686,0.0,,,,,
72494,13522,0.0,0.1723529698789678,0.1723529698789678,0.1723530435516875,0.8764585938361773,0.0,,,,,
K9L20,3813,0.0,0.04605200760342412,0.04605200760342412,0.04605217827986654,0.30323443963253455,0.0,,,,,
KFUL0,6077,0.0,0.1405814846565153,0.1405814846565153,0.14058161902560926,0.590214931433717,0.0,,,,,
KWJF0,7826,0.0,0.09818435221669511,0.09818435221669511,0.09818451335316451,0.5609715995238566,0.0,,,,,
KO540,973,0.0,0.1553036046445621,0.1553036046445621,0.15530381632524765,0.7044183697088552,0.0,,,,,
KF700,1212,0.0,0.13355012420765044,0.13355012420765044,0.13355023000910532,0.5390166883937293,0.0,,,,,
KDLO0,1236,0.0,0.10653868107545451,0.10653868107545451,0.10653883336302075,0.6787982845072691,0.0,,,,,
KO690,1107,0.0,0.05486092155973449,0.05486092155973449,0.054860986434250365,0.34201904816391376,0.0,,,,,
72383,14124,0.0,0.1986024080663462,0.1986024080663462,0.19860258416347767,1.03300466499804,0.0,,,,,
72290,14558,0.0,0.14790819098937014,0.14790819098937014,0.14790831169479166,0.842459821772284,0.0,,,,,
KSBP0,5877,0.0,0.08990847870571816,0.08990847870571816,0.08990858967361581,0.6597442727857215,0.0,,,,,
KCVH0,1143,0.0,0.05502340882988754,0.05502340882988754,0.05502362276484381,0.3253921234088378,0.0,,,,,
KO220,1097,0.0,0.10086378084628016,0.10086378084628016,0.10086392994040158,0.6623650857220569,0.0,,,,,
U9ANI,9327,0.0,0.19584146133890454,0.19584146133890454,0.19584164073491828,1.064652762705075,0.0,,,,,
KCPU0,1143,0.0,0.1662352479457656,0.1662352479457656,0.16623539663750675,1.0621542229629866,0.0,,,,,
KL520,1210,0.0,0.08722852735814848,0.08722852735814848,0.08722860963472227,0.7796427374618972,0.0,,,,,
KCNO0,6162,0.0,0.2096128804068288,0.2096128804068288,0.20961302159023593,0.8409052689704655,0.0,,,,,
72391,12600,0.0,0.20590150688101339,0.20590150688101339,0.20590166877858965,1.712229353300786,0.0,,,,,
KTVL0,5039,0.0,0.2839962765451588,0.2839962765451588,0.2839964288918244,1.1025783157596978,0.0,,,,,
KTOA0,1222,0.0,0.05812023967192494,0.05812023967192494,0.05812035286633678,0.2709145256169419,0.0,,,,,
72483,13812,0.0,0.22512843556181591,0.22512843556181591,0.22512862539578593,1.2366571163094893,0.0,,,,,
72295,14833,0.0,0.10483081843754372,0.10483081843754372,0.10483097886493407,0.7260498269771286,0.0,,,,,
74611,1287,0.0,0.05067708498741004,0.05067708498741004,0.05067728077442989,0.34676448689835665,0.0,,,,,
KBAN0,940,0.0,0.19406176980919296,0.19406176980919296,0.19406197340345216,0.9086192479230981,0.0,,,,,
KAPC0,5936,0.0,0.10968860581899151,0.10968860581899151,0.10968874433534052,0.7049736679499025,0.0,,,,,
LQO8Z,619,0.0,0.25151507746910495,0.25151507746910495,0.25151528231460396,1.0562314391067646,0.0,,,,,
KMOD0,6108,0.0,0.12376968138622807,0.12376968138622807,0.12376985213199036,0.8106247569867855,0.0,,,,,
KUKI0,5384,0.0,0.1384668259504976,0.1384668259504976,0.13846695565347011,0.8862664381552455,0.0,,,,,
KIYK0,852,0.0,0.07774072817366359,0.07774072817366359,0.07774096247596468,0.4592816703706702,0.0,,,,,
KDVO0,1104,0.0,0.07571056884634779,0.07571056884634779,0.0757106953946269,0.6784292782995744,0.0,,,,,
72480,15193,0.0,0.4852409521132529,0.4852409521132529,0.48524105518808974,1.6414174343751593,0.0,,,,,
72288,12254,0.0,0.17009234372041235,0.17009234372041235,0.1700924917814498,1.050761636588234,0.0,,,,,
72497,5070,0.0,2.151377876984066,2.151377876984066,2.1513780378493577,7.00990852499154,0.0,,,,,
72584,1017,0.0,0.15248594643062857,0.15248594643062857,0.15248607822597976,0.5867486223620366,0.0,,,,,
KPOC0,1149,0.0,0.09266096333279142,0.09266096333279142,0.09266106430955942,0.5544116910442655,0.0,,,,,
KBLU0,8005,0.0,0.41478067333462515,0.41478067333462515,0.414780829057038,2.4736295181802834,0.0,,,,,
KHHR0,6038,0.0,0.09613072306757267,0.09613072306757267,0.09613086441493297,0.47149715629340927,0.0,,,,,
74702,13232,0.0,0.1291443670877309,0.1291443670877309,0.12914458846447183,0.8166131576684369,0.0,,,,,
KLVK0,5962,0.0,0.11517235598739477,0.11517235598739477,0.11517250444207296,0.633821339412131,0.0,,,,,
74500,971,0.0,0.15112148901083092,0.15112148901083092,0.1511217482445694,1.2623062843923978,0.0,,,,,
72492,13954,0.0,0.20035908538125083,0.20035908538125083,0.20035926818650646,1.1154274153791777,0.0,,,,,
72592,10955,0.0,0.4032293980715126,0.4032293980715126,0.40322958868068864,2.0342492284522393,0.0,,,,,
KSMF0,5872,0.0,0.13502688062223173,0.13502688062223173,0.1350270673179309,0.8522077943886174,0.0,,,,,
KCZZ0,5314,0.0,0.17131330757530952,0.17131330757530952,0.17131344984784844,0.8753844190756385,0.0,,,,,
72381,1296,0.0,0.05952773950459151,0.05952773950459151,0.05952791608972485,0.3823277824179346,0.0,,,,,
KMHV0,1260,0.0,0.09963522393887399,0.09963522393887399,0.0996353256776762,0.5907900391177111,0.0,,,,,
KO050,872,0.0,0.21328341841901544,0.21328341841901544,0.21328359465603836,0.7713817981606643,0.0,,,,,
KFOT0,916,0.0,0.09218120696770206,0.09218120696770206,0.09218125143650721,0.43647814743036917,0.0,,,,,
KSQL0,1128,0.0,0.08299647988641415,0.08299647988641415,0.08299658860600383,0.5401134502725208,0.0,,,,,
74505,4628,0.0,0.4994945154368032,0.4994945154368032,0.49949458693631743,2.01829433487694,0.0,,,,,
KHJO0,5876,0.0,0.13557282206859317,0.13557282206859317,0.13557301613000816,0.8329247835167477,0.0,,,,,
KL080,1333,0.0,0.12388407164937058,0.12388407164937058,0.12388418939609919,0.492734058065288,0.0,,,,,
NG9G1,775,0.0,0.06033941420087228,0.06033941420087228,0.060339603006984814,0.4060500268842957,0.0,,,,,
KC830,1173,0.0,0.09144211436383766,0.09144211436383766,0.09144224959796562,0.7753738303493163,0.0,,,,,
KGXA0,1288,0.0,0.1478067113155325,0.1478067113155325,0.14780683317493568,0.6438364368059643,0.0,,,,,
KLHM0,1131,0.0,0.14855894362497366,0.14855894362497366,0.14855911411220815,1.1398350552538765,0.0,,,,,
KEMT0,1156,0.0,0.08108803879309234,0.08108803879309234,0.08108814813888274,0.45810879644871044,0.0,,,,,
KCMA0,6434,0.0,0.11272805920534106,0.11272805920534106,0.11272817394905643,0.7878098522344599,0.0,,,,,
Q5MJ7,786,0.0,0.11583666535865936,0.11583666535865936,0.11583688185745111,1.0664131619358277,0.0,,,,,
KDWA0,1174,0.0,0.1411182401208744,0.1411182401208744,0.14111836029396263,1.1688317337601108,0.0,,,,,
74509,11849,0.0,0.17037490028633706,0.17037490028633706,0.17037500266680816,0.9387556236077362,0.0,,,,,
69015,2684,0.0,0.07517782445100649,0.07517782445100649,0.0751780191711028,0.6310053667690926,0.0,,,,,
KSJC0,5998,0.0,0.13556268974814048,0.13556268974814048,0.13556282842729897,0.7969493455673984,0.0,,,,,
FSE8R,728,0.0,0.2054207940112482,0.2054207940112482,0.20542098749078583,1.449922715801758,0.0,,,,,
72289,22,0.0,0.07186772171330343,0.07186772171330343,0.07186772171330343,0.25872911534930826,0.0,,,,,
KL180,1162,0.0,0.08532190856018665,0.08532190856018665,0.08532199204761283,0.36728232033026126,0.0,,,,,
KVIS0,1186,0.0,0.09385181422558309,0.09385181422558309,0.09385199170885382,0.6707044609743478,0.0,,,,,
KOKB0,5704,0.0,0.12654366106798642,0.12654366106798642,0.1265437663309439,0.6424230854422174,0.0,,,,,
KHAF0,1064,0.0,0.09526946266083251,0.09526946266083251,0.09526953889255854,0.36025729565015974,0.0,,,,,
KNRS0,4936,0.0,0.2059808015376056,0.2059808015376056,0.20598088502474177,1.1000572544908103,0.0,,,,,
KMCE0,5728,0.0,0.13461613302276523,0.13461613302276523,0.13461633809505957,0.8662020232324006,0.0,,,,,
KVNY0,6383,0.0,0.11667821208526315,0.11667821208526315,0.11667832794246329,0.6895996442252386,0.0,,,,,
BFY6K,767,0.0,0.0968160677472072,0.0968160677472072,0.09681618521090843,0.6153846331251419,0.0,,,,,
KCCB0,1139,0.0,0.10709571788922125,0.10709571788922125,0.10709585182509213,0.7417404720004215,0.0,,,,,
72389,14352,0.0,0.22545929552790037,0.22545929552790037,0.2254595185252039,1.3218247258445754,0.0,,,,,
KO860,966,0.0,0.15695548116724997,0.15695548116724997,0.15695565582695142,0.6497023542615494,0.0,,,,,
KAJO0,1210,0.0,0.09028227169006246,0.09028227169006246,0.09028246222112225,0.40891655760477397,0.0,,,,,
M44D9,767,0.0,0.16695817042957417,0.16695817042957417,0.16695829997328007,0.7292817537915077,0.0,,,,,
72394,14324,0.0,0.1253939888139641,0.1253939888139641,0.12539412773649697,0.7878875500611968,0.0,,,,,
72286,4300,0.0,0.2850752309084619,0.2850752309084619,0.285075367017781,1.209886550431001,0.0,,,,,
72585,7992,0.0,0.16628880403406304,0.16628880403406304,0.1662889266533031,0.9403972058328066,0.0,,,,,
KRAL0,5755,0.0,0.2555772082562342,0.2555772082562342,0.2555773390097874,0.9431277544516936,0.0,,,,,
69007,1165,0.0,0.13288096152993145,0.13288096152993145,0.13288107628005827,0.557129303094187,0.0,,,,,
