station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias,season
KGOO0,371,4.015902964959569,4.344287993510075,0.3283850285505059,2.035019544848122,5.458949906522558,0.775166764315193,0.0817711561797689,1.3593331198871528,0.775166764315193,0.8845429013833762,8.177115617976888,Spring
KAAT0,1342,0.6606557377049179,1.0992234658079176,0.43856772810299954,0.7999411619132112,1.9142624181335592,0.24118943598231501,0.663837007798585,2.8975187966785887,0.24118943598231501,0.7174445960322731,66.3837007798585,Spring
KTRM0,1930,0.04373056994818653,0.14868859142388482,0.10495802147569831,0.14932185332561473,1.0094973103782838,-2.8798986823834416,2.4001064152618214,23.084476410309094,-2.8798986823834416,0.4076446506509848,240.01064152618213,Spring
KAPV0,208,0.6312499999999999,0.6861696799660764,0.054919679966076336,0.41318995873057196,1.399792366625562,0.7435585169040397,0.0870014732135863,2.2174928580206927,0.7435585169040397,0.8655921437460531,8.700147321358628,Spring
72293,3533,0.821030285876026,1.0855498404828254,0.26451955460679943,0.8021085590437657,2.855304240933559,0.41488208594902065,0.3221800208314622,3.4777087886435223,0.41488208594902065,0.7271707411933976,32.218002083146224,Spring
72382,2429,0.29785920131741456,0.6907209077967543,0.3928617064793397,0.5598048967566812,2.0475815194273603,-0.20096969342426063,1.3189510505021649,6.874326897980731,-0.20096969342426063,0.6163126429730864,131.89510505021647,Spring
KCEC0,1402,2.9529957203994295,3.2598999877278207,0.3069042673283912,1.873011499318404,5.009062891998667,0.6357463980497986,0.10392980430289231,1.696264866689725,0.6357463980497986,0.8288285335715484,10.39298043028923,Spring
KSBD0,368,2.264945652173913,1.101082220181474,-1.163863431992439,1.4652485587129152,4.108746938788802,0.646436670172307,-0.5138593197039203,1.8140598362018947,0.646436670172307,0.8811926363766632,-51.38593197039203,Spring
72384,4140,0.5433333333333333,0.9736952679483669,0.4303619346150335,0.8164807782564116,2.451994001860239,-0.2292352621087339,0.7920771802730678,4.512872396061789,-0.2292352621087339,0.6091634885113767,79.20771802730678,Spring
KIPL0,1674,0.020967741935483872,0.046932961528206675,0.02596521959272281,0.04528306736052873,0.4144432050090987,-0.019275539353810656,1.2383412421144724,19.76575285428009,-0.019275539353810656,0.5986520378405754,123.83412421144725,Spring
KMCC0,368,1.3326086956521739,1.5042990982146767,0.1716904025625028,0.8413020551968351,2.3599776117179334,0.6455660836708399,0.12883782247757142,1.7709456792663123,0.6455660836708399,0.8445991182302431,12.883782247757143,Spring
KWVI0,1465,0.972627986348123,0.8254659017054842,-0.14716208464263872,0.6211158774497482,2.5400803307360307,0.7084256211252791,-0.1513035679707107,2.6115640989039823,0.7084256211252791,0.850116239037314,-15.130356797071071,Spring
KEDU0,368,1.1774456521739132,1.3375583033461038,0.16011265117219076,0.8537943084531132,2.783423412761979,0.5132485971606474,0.13598305015316453,2.3639506482723474,0.5132485971606474,0.7701433005971081,13.598305015316454,Spring
QX6JS,222,1.6468468468468467,1.5300089091439586,-0.11683793770288836,1.1487320004841248,3.9802029386753865,0.528653799226337,-0.07094645013687423,2.416862834753654,0.528653799226337,0.7481886063156845,-7.094645013687422,Spring
ZGK9P,222,0.5423423423423424,0.6769322648350262,0.1345899224926839,0.40668713336264567,1.4995154843360976,0.7332545122270457,0.2481641428021248,2.764887354838984,0.7332545122270457,0.8600586633151339,24.81641428021248,Spring
KIZA0,368,0.991304347826087,1.2314034433082794,0.24009909548219247,0.7359529297512428,3.092090229854521,0.4244241565162856,0.2422052278987029,3.1192138283620165,0.4244241565162856,0.7759698795489841,24.220522789870294,Spring
72380,1927,0.0951219512195122,0.1520041771829729,0.05688222596346073,0.14699334988293128,0.9899284115668202,0.13030568595786196,0.5979926319235616,10.406939711343494,0.13030568595786196,0.5891404586948483,59.79926319235614,Spring
KMYV0,1372,0.6760204081632653,1.0684619026063706,0.39244149444310505,0.7148367108911614,2.4623279577304285,0.31451685630606563,0.5805172295158385,3.642387016718219,0.31451685630606563,0.766153205059475,58.05172295158384,Spring
KWHP0,368,1.336413043478261,1.2222313736706076,-0.11418166980765312,0.8254056861881646,2.988400944358624,0.687942360526197,-0.08543890705412026,2.2361357208702186,0.687942360526197,0.8297175667050553,-8.543890705412027,Spring
KRNM0,1564,0.45313299232736576,0.6526887229092988,0.19955573058193304,0.44131582776273526,1.6101299440598005,0.6195683991391541,0.4403910859745213,3.5533275469303343,0.6195683991391541,0.8263627848137377,44.039108597452135,Spring
72281,2042,0.08790401567091087,0.10260716406099586,0.014703148390084995,0.09836456646523815,0.6978663306285453,0.4449560592026075,0.16726367137912845,7.9389584799080195,0.4449560592026075,0.7046968661943086,16.726367137912845,Spring
