station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias
KVGT0,6605,0.14598031794095384,0.2570145410299966,0.1110342230890428,0.24570452697267356,1.3379750895885731,0.006236545019400297,0.7606109142326567,9.165448523887704,0.006236545019400297,0.5588927787842344,76.06109142326568
KCXP0,149,11.564429530201343,9.127234144200084,-2.4371953860012585,6.7126778450607,9.466819980752543,0.21292516076164048,-0.2107492963346222,0.8186153892009337,0.21292516076164048,0.7066254093274483,-21.074929633462215
KP680,522,5.839655172413793,4.719903981411653,-1.1197511910021407,3.5819322624193117,4.932331582196222,-0.1257932778866897,-0.19174953964607075,0.8446271974236224,-0.1257932778866897,0.5003162079092088,-19.17495396460707
72387,16307,0.38567486355552827,0.47432702373598523,0.0886521601804569,0.47888151697444375,2.0578961402250373,0.21251388155222917,0.22986242702771587,5.335831641329531,0.21251388155222917,0.5473730299333429,22.986242702771584
72477,1078,5.210296846011131,4.648410177033378,-0.5618866689777537,3.578537775295236,5.110512412099529,-0.37316494988448157,-0.10784158476650321,0.9808486086569147,-0.37316494988448157,0.37133296077236905,-10.78415847665032
KBAM0,146,5.914383561643835,5.126337603793491,-0.788045957850345,2.7998128388933607,3.8642678126756795,-0.023941050873441005,-0.13324228123468487,0.653367806196467,-0.023941050873441005,0.6826331762003038,-13.324228123468487
KMEV0,146,11.71986301369863,13.362532486494237,1.6426694727956057,6.906587680057927,11.049990513618873,-0.0818146664132775,0.1401611495693755,0.942842975272255,-0.0818146664132775,0.6852794648264219,14.016114956937553
72583,1700,5.085529411764704,4.593808027659103,-0.4917213841056029,3.2332095085564907,4.602215412144896,-0.15684545199660738,-0.09669030385864451,0.9049628936366537,-0.15684545199660738,0.49337309185047923,-9.66903038586445
70580,1275,4.841019607843138,4.411572907621916,-0.42944670022122045,3.3779999276894332,4.773266000974509,-0.2605381368207693,-0.08870996918199958,0.9860042692744193,-0.2605381368207693,0.4139202090081529,-8.870996918199959
72485,7744,0.18165030991735534,0.2879521475073135,0.10630183758995809,0.3063187067535714,1.3613996189453776,0.08349628833896605,0.5852004196322141,7.494617650609943,0.08349628833896605,0.4860521843115313,58.520041963221416
72488,1682,4.974554102259215,7.809522790842003,2.8349686885827885,5.364648033413427,8.287874210138499,-0.824500620351756,0.5698940307625312,1.6660536883847592,-0.824500620351756,0.5632667424426427,56.98940307625312
74614,313,3.373801916932907,4.064033590061888,0.6902316731289807,3.1631213919543155,5.174689819803373,-0.1532166414136349,0.20458571372099524,1.5337859030288405,-0.1532166414136349,0.5262251951627298,20.458571372099524
KBVU0,165,2.567272727272727,2.3601181922080112,-0.20715453506471623,2.1932758116037334,3.985842853565943,-0.007038878316203201,-0.08069050586798437,1.5525591851708704,-0.007038878316203201,0.4490374881560807,-8.069050586798436
72385,610,7.898196721311475,1.1302150773035913,-6.767981644007883,7.268801107541185,9.694859394546464,-1.476967191192602,-0.8569021363757673,1.2274775795830846,-1.476967191192602,0.013898850353914888,-85.69021363757673
KTMT0,145,7.064827586206897,5.991560471793976,-1.0732671144129202,3.562280666115016,5.271784610120816,-0.011960251153318335,-0.15191695781908768,0.7462014530139772,-0.011960251153318335,0.5872913444410421,-15.191695781908768
72580,870,5.698160919540229,2.1649097579479015,-3.5332511615923288,4.752819567082383,6.796670547045792,-0.8766983958437626,-0.6200686873331437,1.1927831879472788,-0.8766983958437626,0.11728624170149533,-62.00686873331436
72487,217,3.207373271889401,3.4353494319779,0.22797616008849914,2.51392885449651,4.153248447073134,0.032268434923641176,0.07107877405058091,1.2949064842167672,0.032268434923641176,0.5643043054219805,7.107877405058091
KHND0,1842,0.2636264929424539,0.3424982685228408,0.07887177558038694,0.36375615710611003,1.6777781319698228,-0.040185241324549814,0.2991800053934776,6.3642242979580175,-0.040185241324549814,0.4476835077154163,29.918000539347755
KNFL0,5970,0.240536013400335,0.3284582208704634,0.08792220747012836,0.30360761210340637,1.2715876849417325,0.34521983032030024,0.36552616893918266,5.286475263998707,0.34521983032030024,0.6536862295976741,36.55261689391826
KLSV0,147,3.6571428571428575,2.6553828263149057,-1.0017600308279515,2.590388002251217,4.368613931561973,0.30307347461507894,-0.27391875842951796,1.194542871911477,0.30307347461507894,0.6230506993261749,-27.3918758429518
72486,1697,6.050618738951089,5.4579567009466246,-0.5926620380044652,4.410329749174116,6.331122758783534,-0.4715697199754483,-0.09795064993753129,1.0463595595648243,-0.4715697199754483,0.30104235744136937,-9.79506499375313
72282,637,30.68210361067504,0.39583176615821203,-30.286271844516826,30.31735631143296,38.871488002548624,-1.5669939382239426,-0.9870989365272694,1.266910786033077,-1.5669939382239426,-0.028677055934974528,-98.70989365272695
72386,16392,0.27706808199121524,0.412495112153206,0.13542703016199073,0.399143023347093,1.8092659549604886,-0.05493199674824134,0.48878611057871546,6.53004107134164,-0.05493199674824134,0.5379399168369736,48.878611057871545
KRTS0,146,10.373287671232877,9.372794621141633,-1.0004930500912446,5.4166572985474515,8.341530667056425,0.19870698830289546,-0.09644898336964128,0.8041356734171264,0.19870698830289546,0.6686232560677298,-9.644898336964127
KHTH0,152,7.500657894736841,5.031632641047918,-2.469025253688923,4.607391600572212,6.621222877525989,0.021112023922282397,-0.3291744922030667,0.8827522825927115,0.021112023922282397,0.5953317753578163,-32.917449220306665
