station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias,season
KVGT0,1654,0.1316807738814994,0.16142391930733083,0.029743145425831417,0.18886068386259222,1.387180927757975,0.27279154311304454,0.22587310621820553,10.534422656160196,0.27279154311304454,0.5582816614398445,22.587310621820553,Fall
KCXP0,361,0.9770083102493075,1.0282420615226624,0.05123375127335492,0.7944536152534754,3.2656715380301966,0.6286723829933457,0.05243942219926603,3.3425217613521436,0.6286723829933457,0.8016087757161436,5.243942219926603,Fall
KP680,1320,0.5481818181818182,0.7535266961794309,0.20534487799761275,0.6127063123737696,1.8740202505753114,0.2043109342881151,0.37459264643013934,3.4186107390262728,0.2043109342881151,0.6841042313906822,37.45926464301394,Fall
72387,4030,0.30853598014888334,0.37340889715569986,0.06487291700681647,0.3916733965526518,1.8691604168699287,0.14606506211001646,0.21026045965696508,6.058160270215388,0.14606506211001646,0.5404211885216845,21.026045965696508,Fall
72477,2548,0.5149529042386186,0.759799317818241,0.24484641357962247,0.6354800478265359,1.9491264110489848,0.021184817556940017,0.47547341041146096,3.7850576140178434,0.021184817556940017,0.6084824429319837,47.5473410411461,Fall
KBAM0,361,0.5886426592797784,0.7867488899205877,0.1981062306408092,0.437359180739761,1.5063278316160678,0.5401222141923732,0.33654752593568055,2.5589851633571783,0.5401222141923732,0.8882865130464804,33.654752593568055,Fall
KMEV0,361,1.0152354570637119,1.3253168945974276,0.31008143753371575,0.9500389130539817,3.9178023451720505,-0.33740205601438156,0.30542810081765726,3.8590085855582816,-0.33740205601438156,0.7374866688550931,30.542810081765722,Fall
72583,4095,0.552161172161172,0.7848655886286583,0.23270441646748607,0.6179336430009431,1.9208642840723589,0.22597174803325748,0.4214429195676245,3.478810863418828,0.22597174803325748,0.6615197128481615,42.144291956762444,Fall
70580,3176,0.5206863979848867,0.761498025764128,0.2408116277792413,0.6406717780284819,1.9467923388863722,0.250592194696744,0.46248880076608234,3.7388960925821597,0.250592194696744,0.6374338488170889,46.24888007660823,Fall
72485,1965,0.18620865139949108,0.2393475446310052,0.053138893231514085,0.2823886181276176,1.6020949580268102,0.17082851212590966,0.28537284831900844,8.603762209682106,0.17082851212590966,0.4568964808595004,28.53728483190084,Fall
72488,4095,0.4330891330891331,0.9830722452831883,0.5499831121940554,0.7864273546618046,2.7923591424047696,-0.5024307847926099,1.2699074397714445,6.447539153170302,-0.5024307847926099,0.6665165031633793,126.99074397714443,Fall
74614,775,0.2238709677419355,0.4421982901321541,0.21832732239021865,0.38927151458137155,1.732459672191733,-0.23575557573668604,0.9752373190341179,7.738652714401113,-0.23575557573668604,0.5964476234560975,97.5237319034118,Fall
KBVU0,361,0.1523545706371191,0.22244604325505993,0.07009147261794078,0.23297086909847414,0.9941329494474728,-0.5852467142860565,0.46005493845593864,6.525127177282504,-0.5852467142860565,0.5372331821429802,46.00549384559386,Fall
72385,1537,0.8353285621340274,0.3561960943824038,-0.4791324677516236,1.0093364003325351,3.033859864920246,-0.3489574213646347,-0.5735856397961254,3.631935985966522,-0.3489574213646347,0.12419947358638155,-57.35856397961254,Fall
KTMT0,361,0.8540166204986148,0.8383071965934844,-0.015709423905130686,0.5898017889072185,1.8844514380113742,0.627419074826434,-0.018394751961570477,2.206574664684094,0.627419074826434,0.7958457451351387,-1.8394751961570477,Fall
72580,2154,0.6025998142989787,0.45470914395528084,-0.14789067034369782,0.7229159651993248,2.6656950218451887,-0.20238483507868454,-0.2454210353777543,4.423657224233079,-0.20238483507868454,0.2549083367607898,-24.54210353777543,Fall
72487,414,0.4896135265700483,0.8312494052374194,0.34163587866737105,0.6329851847786477,2.1266336463913436,-0.1403345890272678,0.6977664221425339,4.343494472649315,-0.1403345890272678,0.6491663248259654,69.77664221425339,Fall
KHND0,507,0.13313609467455623,0.2032332981363586,0.07009720346180234,0.26020152940562724,1.5518436477974147,-0.8008273116764426,0.5265078837797598,11.656070065678358,-0.8008273116764426,0.2810382555408389,52.650788377975985,Fall
KNFL0,1550,0.20038709677419356,0.25386243037363815,0.05347533359944455,0.22062898009078408,1.250270571584676,0.4049502145071826,0.26686016445311994,6.239276838236471,0.4049502145071826,0.685708910533589,26.68601644531199,Fall
KLSV0,361,0.3518005540166205,0.21913625181692287,-0.13266430219969766,0.2864066912317727,1.4772371401832307,0.6695507366710134,-0.3771008905046524,4.199075650442096,0.6695507366710134,0.8508732952039322,-37.71008905046524,Fall
72486,4095,0.6761416361416361,1.006949227359016,0.3308075912173798,0.8899955956540713,2.684694352306117,0.03494097350443437,0.4892578322866116,3.9706094238274883,0.03494097350443437,0.5539234904713619,48.92578322866116,Fall
72282,1641,3.230956733698964,0.4073882001029123,-2.8235685335960516,3.5753774288342135,13.353381072588817,-0.07643946518351408,-0.8739109701303509,4.132949517185637,-0.07643946518351408,-0.04836619827839451,-87.3910970130351,Fall
72386,4095,0.23907203907203908,0.3092503056296591,0.07017826655762002,0.31005404373063566,1.6585700799445924,0.01793290265949843,0.29354443468177116,6.937532663302457,0.01793290265949843,0.5482685823912268,29.35444346817712,Fall
KRTS0,362,1.2674033149171269,1.099586498896575,-0.16781681602055218,0.8882389642462852,3.575142671886014,0.6002994637229773,-0.13240995509904074,2.820840556283211,0.6002994637229773,0.7841254599368972,-13.240995509904074,Fall
KHTH0,361,0.7673130193905817,0.5831894516431079,-0.1841235677474738,0.5772426845541192,1.9893120836628149,0.5631695269332455,-0.23995887349039002,2.5925691776255455,0.5631695269332455,0.7639768193888437,-23.995887349039005,Fall
