season,station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias,season
Winter,KVGT0,1585,0.224416403785489,0.43579773610234,0.21138133231685105,0.3533862933318372,1.4680091531202673,0.11913868506023495,0.9419156922187486,6.541452087983197,0.11913868506023495,0.7189212787828639,94.19156922187486,Winter
Winter,KCXP0,350,2.618857142857143,3.0160830125551996,0.3972258696980567,1.6013149619632288,4.10113280160791,0.6501590218399937,0.15167909054584314,1.5660009606837968,0.6501590218399937,0.852025815276485,15.167909054584314,Winter
Winter,KP680,1247,0.7519647153167602,0.9997090312972162,0.24774431598045576,0.6976050179458066,1.711081505704648,0.46660047449076647,0.32946268745614626,2.2754811108176347,0.46660047449076647,0.7474453173956902,32.946268745614624,Winter
Winter,72387,4017,0.5819268110530246,0.6984309443274557,0.11650413327443106,0.618032793608639,2.1444057687617577,0.3204054469441182,0.2002040996592187,3.6850093998613884,0.3204054469441182,0.6247162487659912,20.020409965921868,Winter
Winter,72477,2439,0.6673226732267322,1.0457136245346683,0.3783909513079361,0.7826154034485584,1.800886511483218,0.19153432994145292,0.5670284653723618,2.698674245212318,0.19153432994145292,0.6740405622182652,56.702846537236184,Winter
Winter,KBAM0,350,1.1402857142857143,1.3309039024709384,0.19061818818522408,0.883001231224596,1.8055399784583541,0.5183297315729103,0.16716704050320327,1.5834101539975542,0.5183297315729103,0.7587369668065669,16.716704050320327,Winter
Winter,KMEV0,352,3.0588068181818184,4.182706821785363,1.1239000036035447,2.319652693018653,5.865420471140881,0.4651546347376774,0.3674308547120346,1.917551784008164,0.4651546347376774,0.8118045150344996,36.743085471203464,Winter
Winter,72583,4017,0.7414986308190191,1.1861416749747367,0.4446430441557176,0.9148658646145641,2.109872156453273,0.03817381800313879,0.5996545720719525,2.845416119140804,0.03817381800313879,0.6043924746146045,59.965457207195236,Winter
Winter,70580,2676,0.6639760837070254,1.0217141832497068,0.3577380995426811,0.8540507077168235,2.064000015757585,0.11100769637825769,0.5387816042189412,3.108545723867232,0.11100769637825769,0.5888550917309475,53.878160421894115,Winter
Winter,72485,1855,0.1641509433962264,0.41438723724499016,0.2502362938487637,0.3388880123591354,1.2069115243011534,-0.5478314559192372,1.52442799700971,7.352449515857602,-0.5478314559192372,0.6258622078347894,152.442799700971,Winter
Winter,72488,4017,0.9361214836942992,2.3345742980179445,1.398452814323645,1.6633889904924524,4.3601012500990315,-0.4947141763521037,1.4938796285336886,4.657623317106641,-0.4947141763521037,0.7410670354081735,149.38796285336886,Winter
Winter,74614,829,0.6089264173703257,0.9464415414493385,0.33751512407901285,0.7747192060274455,2.341221520271911,0.12257655087111707,0.5542789973484581,3.8448348658982052,0.12257655087111707,0.630604395715149,55.42789973484581,Winter
Winter,KBVU0,350,0.5534285714285714,0.636259770640178,0.08283119921160656,0.5596904429616484,1.915503683951226,0.18040213853017983,0.14966917771844243,3.461157921440006,0.18040213853017983,0.5950766894190574,14.966917771844242,Winter
Winter,72385,1454,1.4127922971114166,0.9368938662272364,-0.47589843088418043,1.768046172468651,3.9178551293479065,-0.7078248070253301,-0.3368495368053736,2.773128886219383,-0.7078248070253301,0.12694108412034444,-33.684953680537355,Winter
Winter,KTMT0,350,1.1702857142857144,1.4625206013150305,0.2922348870293164,0.9507491489696672,2.2247215455480926,0.394706122062939,0.24971242788149592,1.9010071800337704,0.394706122062939,0.7868128857307173,24.97124278814959,Winter
Winter,72580,2043,0.9035242290748899,0.8830826043210367,-0.02044162475385322,1.1622597723845283,2.7813248690829755,-0.35634458597305163,-0.022624323837760512,3.078306900447759,-0.35634458597305163,0.2674532380764174,-2.2624323837760514,Winter
Winter,72487,339,0.27492625368731566,0.9090894055569941,0.6341631518696783,0.785695940170975,2.535828511949936,-3.724597462335911,2.306666400040997,9.223668085311463,-3.724597462335911,0.49211581089237033,230.6666400040997,Winter
Winter,KHND0,468,0.3294871794871795,0.4928986983378955,0.16341151885071598,0.40460739590572536,1.482335446431605,-0.08732926695358834,0.495957138924352,4.4989169191309415,-0.08732926695358834,0.6105840239663802,49.5957138924352,Winter
Winter,KNFL0,1369,0.33864134404674945,0.567227080638693,0.22858573659194356,0.4648375882328681,1.5456416785769065,0.3409739953197446,0.6750083550353122,4.564243869654411,0.3409739953197446,0.7162905395254842,67.50083550353122,Winter
Winter,KLSV0,350,0.5339999999999999,0.5683079211114566,0.03430792111145656,0.47860250966690193,1.8278147010911285,0.14776853673760904,0.0642470432798812,3.4228739720807657,0.14776853673760904,0.5943463335645187,6.424704327988121,Winter
Winter,72486,4017,0.6536221060492906,1.1676432150719847,0.514021109022694,0.865422383553055,2.100321379692854,0.004025248351544053,0.7864194069714205,3.2133573210794464,0.004025248351544053,0.6526844746506242,78.64194069714205,Winter
Winter,72282,1486,4.286271870794078,0.7402442096488703,-3.546027661145208,4.775062750035829,13.001670578029183,-0.13360858697643652,-0.8272988200555436,3.033328489175019,-0.13360858697643652,-0.0654266909445427,-82.72988200555437,Winter
Winter,72386,4017,0.45782922579039087,0.720701781381947,0.26287255559155603,0.5871791943292299,2.1858948671299268,0.06094866612768046,0.574171636023751,4.774476472873098,0.06094866612768046,0.6477878189165236,57.41716360237511,Winter
Winter,KRTS0,351,2.235897435897436,2.608655242235154,0.37275780633771816,1.3577255447907108,3.4917594776797563,0.578119343754447,0.16671507393544735,1.5616814177696157,0.578119343754447,0.840510791327276,16.671507393544733,Winter
